meter_id,dwelling_type,num_occupants,num_bedrooms,heating_fuel,hot_water_fuel,boiler_age,loft_insulation,wall_insulation,heating_temperature,efficient_lighting_percentage,dishwasher,freezer,fridge_freezer,refrigerator,tumble_dryer,washing_machine,game_console,laptop,pc,router,set_top_box,tablet,tv
0x02b7418b821b2edeeb2baa23ba1580566b4b0e43,semi_detached_house,,3.0,,,,,,,,,,,,,,,,,,,,
0xaf32b2b497e9eb9c3f3de907aedc6a7914a11f41,terraced_house,,2.0,,,,,,,,,,,,,,,,,,,,
0xdd45ab28a7a40eadc04607d6da42e5ad923b1339,semi_detached_house,,,,,,,,,,,,,,,,,,,,,,
0x2b538a5ebfc3780aef25227267063cb6410d943b,detached_house,,4.0,,,,,,,,,,,,,,,,,,,,
0xee032ed498c9e99a4c65e0f39896fb30e513c6b7,,,,,,,,,,,,,,,,,,,,,,,
0x3bdf8fc44e1158892016085484770e51b701052e,detached_house,,3.0,,,,,,,,,,,,,,,,,,,,
0x8751cd1e84d1b0a6b2fb276bf45ce568839e78a4,semi_detached_house,,3.0,,,,,,,,,,,,,,,,,,,,
0x9513497cdb4f8e05a5b6f606a2f1562a5cc1cf8a,semi_detached_house,,3.0,,,,,,,,,,,,,,,,,,,,
0xb4f0076c5f5e46f3a1b9b2a8fc4754954b0a6f02,,,3.0,,,,,,,,,,,,,,,,,,,,
0xc193f1f969fb14b8669452c63d760706b4c44a2f,bungalow,,4.0,,,,,,,,,,,,,,,,,,,,
0x814308894f7032d5698b139db08d23e1002122e6,bungalow,,3.0,,,,,,,,,,,,,,,,,,,,
0x0fe2599c3b29378ce1354a957d19a5dbd90b7b52,semi_detached_house,,4.0,,,,,,,,,,,,,,,,,,,,
0x968122de3f1904f78931dd84a43abee72b5e4fde,,,3.0,,,,,,,,,,,,,,,,,,,,
0x439eba29f4719dbdcb26575e46405b17050d2e20,semi_detached_house,,3.0,,,,,,,,,,,,,,,,,,,,
0xc587927720b6c87fbc80d7afcb2f893565de15b6,terraced_house,,3.0,,,,,,,,,,,,,,,,,,,,
0x77d286157c0ee5dc154e9b7c63162fc73452bea0,bungalow,,3.0,,,,,,,,,,,,,,,,,,,,
0x94e5fb41b140ab11c85caba98f4e1ccfbdd69493,terraced_house,,3.0,,,,,,,,,,,,,,,,,,,,
0xdbe234044caf2de262c1e4e5ce6d80f4b69fdb5f,bungalow,,3.0,,,,,,,,,,,,,,,,,,,,
0x70008410628aef8569338323592024a9a8311d98,detached_house,,3.0,,,,,,,,,,,,,,,,,,,,
0x9b0cddaf06ce2d10ecf355b9f0e2714e2197028e,bungalow,,3.0,,,,,,,,,,,,,,,,,,,,
0xc3ede668dff8516d97952530c808639b6cccb35f,semi_detached_house,,3.0,,,,,,,,,,,,,,,,,,,,
0xc202c5e85d5ac566c089c46c3ca8b87a26a887b0,,,2.0,,,,,,,,,,,,,,,,,,,,
0x079a366ad2adec9492b3cd0ab6bc4afdeaedeab1,semi_detached_house,,3.0,,,,,,,,,,,,,,,,,,,,
0x4d2037d8439a92fdb4db5309000bed90c4efe117,flat,,3.0,,,,,,,,,,,,,,,,,,,,
0x752b974f95b04596e409c208dfaf84f58f7806ff,,,,,,,,,,,,,,,,,,,,,,,
0xf2775284d3718d2c64ddc479095e153068578723,semi_detached_house,,3.0,,,,,,,,,,,,,,,,,,,,
0xbfb23f2bca0361cc578fdda6f7c1f0a618f2569e,bungalow,,3.0,,,,,,,,,,,,,,,,,,,,
0x337ed4a053c1259918781b4eb7b80bd92fcf1e09,bungalow,,3.0,,,,,,,,,,,,,,,,,,,,
0xbe73f981f522e63e68d435bf977cc8d3d440bc59,semi_detached_house,,4.0,,,,,,,,,,,,,,,,,,,,
0x2125bd0602ac000bfd08956b4a51f337da598935,,,,,,,,,,,,,,,,,,,,,,,
0x01842e2ab2e8c1497d71fa2257a9ecb92cc9a64b,flat,,3.0,,,,,,,,,,,,,,,,,,,,
0xd8631c74e59eb97d15f6c500a7dc3442b52d340e,,,3.0,,,,,,,,,,,,,,,,,,,,
0xe190e49075d4e003456fe443073730eb31357516,,,,,,,,,,,,,,,,,,,,,,,
0x33b3bc635a59b4caa15ae0698f83906cb4349855,semi_detached_house,,4.0,,,,,,,,,,,,,,,,,,,,
